point,sr1,asr1,sr2,asr2,sr3,asr3,sr4,asr4
302,34843,34451,37438,37230,25342,24554,25311,24532
303,34843,34450,37439,37235,25341,24557,25310,24539
304,34846,34457,37418,37227,25332,24551,25309,24525
305,34840,34463,37423,37239,25341,24553,25320,24546
306,34839,34476,37413,37240,25335,24572,25318,24547
307,34856,34473,37411,37234,25332,24576,25302,24543
308,34851,34464,37418,37221,25335,24571,25303,24535
309,34856,34466,37416,37234,25330,24561,25307,24547
310,34865,34464,37418,37218,25335,24555,25306,24546
311,34865,34473,37409,37219,25339,24556,25304,24536
312,34854,34480,37400,37205,25337,24568,25300,24531
313,34858,34499,37403,37206,25340,24576,25305,24521
314,34858,34491,37401,37207,25328,24580,25312,24532
315,34860,34493,37416,37227,25330,24580,25314,24543
316,34862,34478,37416,37231,25334,24560,25306,24518
317,34854,34471,37422,37220,25325,24564,25307,24507
318,34852,34473,37405,37195,25322,24562,25309,24524
319,34857,34478,37397,37191,25330,24557,25316,24539
320,34856,34484,37385,37184,25331,24557,25301,24541
321,34844,34494,37402,37189,25331,24550,25306,24523
322,34856,34494,37403,37190,25326,24559,25305,24509
323,34856,34495,37378,37194,25330,24556,25300,24518
324,34854,34489,37374,37192,25332,24546,25292,24534
325,34845,34489,37368,37178,25331,24542,25296,24543
326,34843,34484,37364,37178,25332,24557,25306,24521
327,34848,34476,37369,37182,25324,24561,25305,24522
328,34840,34466,37368,37177,25320,24556,25293,24530
329,34828,34452,37387,37184,25320,24545,25291,24534
330,34829,34459,37394,37187,25328,24557,25304,24532
331,34828,34465,37388,37213,25321,24554,25305,24520
332,34825,34451,37395,37198,25327,24540,25298,24509
333,34823,34471,37393,37189,25328,24550,25300,24499
334,34835,34479,37401,37193,25331,24552,25303,24515
335,34848,34455,37400,37215,25324,24549,25301,24521
336,34844,34461,37406,37235,25324,24535,25289,24528
337,34837,34466,37429,37251,25332,24529,25299,24524
338,34842,34462,37434,37259,25335,24537,25301,24517
